Total Dataset Population (in billions),,,PART1-3: Investigating Population Size,,,,,,
7.786695108,,,,,,,,,
,,,,,,,,,
Estimated World Population (in billions),,,,,,,,,
7.821,,,,,,,,,
,,,,,,,,,
Total Dataset Urban Population (in billions),,,,,,,,,
4.375308463,,,,,,,,,
,,,,,,,,,
Estimated World Urban Population (in billions),,,,,,,,,
4.30155,,,,,,,,,
,,,,,,,,,
Urban Share in Dataset (%),,,,,,,,,
56.18954386,,,,,,,,,
,,,,,,,,,
Population Percentage Difference,,,,,,,,,
0.4395894719,,,,,,,,,
,,,,,,,,,
Urban Population Percentage Difference,,,,,,,,,
1.700119067,,,,,,,,,
,,,,,,,,,
Urban Share Percentage Difference,,,,,,,,,
2.139668561,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
62.11199951,62,95.66380912,1.62808683,2.708104054,0,,,,
99.23500061,99,NAN,NAN,NAN,NAN,,,,
56.31100082,56,95.39801591,2.944456223,1.317064322,0.34046355,,,,
63.31299973,63,99.95448122,0,0.04551878364,0,,,,
68.65699768,69,96.64596558,1.718335079,1.635699341,0,,,,
49.02000046,49,94.8457044,5.026922206,0.1273733928,0,,,,
95.51499939,96,99.69273444,0.3072655617,0,0,,,,
59.4529953,59,99.44615394,0,0.538220742,0.01562531586,,,,
42.84900284,43,97.35744448,1.516060408,1.126495111,0,,,,
57.55299759,58,100,0,0,0,,,,
100,100,NAN,NAN,NAN,NAN,,,,
68.41400146,68,98.08889267,1.911107333,0,0,,,,
55.32699585,55,89.25869465,9.428808083,1.31249727,0,,,,
86.6989975,87,100,0,0,0,,,,
42.19799805,42,49.66166495,34.27978009,15.95940214,0.09915281712,,,,
63.65299988,64,96.97988603,0,3.020113966,0,,,,
52.08899689,52,85.52810963,10.69005698,3.58408039,0.1977530006,,,,
80.77099609,81,99.84965286,0.1503471429,0,0,,,,
76.71899414,77,97.62696443,1.246217358,1.126818208,NAN,,,,
